"What is the capital of France?","The capital of France is Paris."
"How many continents are there in the world?","There are seven continents: Africa, Antarctica, Asia, Europe, North America, Oceania, and South America."
"What is the largest planet in our solar system?","Jupiter is the largest planet in our solar system."
"Who discovered gravity?","Sir Isaac Newton discovered gravity."
"What are the three states of matter?","Solid, liquid, and gas."
"Who wrote 'Romeo and Juliet'?","William Shakespeare."
"What is the chemical symbol for water?","H2O."
"What is the speed of light?","Approximately 299,792,458 meters per second (about 300,000 km/s)."
"Who was the first person to walk on the moon?","Neil Armstrong in 1969."
"What is artificial intelligence (AI)?","AI is the simulation of human intelligence in machines that can think, learn, and solve problems."
"What does CPU stand for?","Central Processing Unit."
"What is the difference between RAM and ROM?","RAM is temporary memory used for active tasks, while ROM is permanent storage used for system instructions."
"What is an IP address?","It is a unique numerical address assigned to a device on a network."
"What does HTTP stand for?","Hypertext Transfer Protocol."
"What is cloud computing?","Cloud computing is the delivery of computing services over the internet instead of local servers."
"What is an operating system?","It is software that manages hardware and software resources on a computer (e.g., Windows, macOS, Linux)."
"What does HTML stand for?","HyperText Markup Language."
"What is the difference between a website and a web application?","A website is informational, while a web application is interactive and allows user input."
"What is cybersecurity?","The practice of protecting systems, networks, and data from cyber threats."
"What is DNA?","DNA (Deoxyribonucleic Acid) carries genetic information in living organisms."
"What causes seasons on Earth?","The tilt of the Earth's axis as it orbits the sun."
"How does the human brain function?","It processes information, controls the body, and enables thinking and emotions."
"What is the immune system?","The body's defense system against infections and diseases."
"What are the benefits of exercise?","Improves heart health, strengthens muscles, boosts mood, and enhances overall well-being."
"How does the heart work?","It pumps oxygen-rich blood throughout the body and removes carbon dioxide."
"What are renewable and nonrenewable energy sources?","Renewable: Solar, wind, hydro. Nonrenewable: Coal, oil, natural gas."
"What is the greenhouse effect?","The trapping of heat in Earth’s atmosphere by greenhouse gases."
"What is a virus?","A microscopic infectious agent that replicates inside a host cell."
"Why do we need sleep?","For brain function, body repair, and overall health."
"What is inflation?","The increase in prices over time, reducing purchasing power."
"How do credit cards work?","They allow you to borrow money from a bank for purchases and repay later, often with interest."
"What is cryptocurrency?","A digital currency that uses encryption for security (e.g., Bitcoin)."
"What is a stock market?","A marketplace where stocks are bought and sold."
"What is the difference between debit and credit?","Debit withdraws money you own; credit borrows money."
"How do bank loans work?","A bank lends you money that must be repaid with interest."
"What is an investment?","Allocating money to an asset to gain profit."
"What is compound interest?","Interest earned on both the initial principal and accumulated interest."
"What does GDP stand for?","Gross Domestic Product, the total value of goods and services in a country."
"What is entrepreneurship?","Starting and managing a business venture."
"What are the top tourist destinations in the world?","Paris, New York, London, Dubai, Tokyo."
"What are the safest countries to travel to?","Switzerland, Canada, Denmark, Iceland."
"How do I apply for a passport?","Submit an application with required documents to your country's passport office."
"What is a visa?","A permit that allows you to enter a foreign country."
"How can I find cheap flights?","Use fare comparison websites, book early, and be flexible with dates."
"What are the most popular sports in the world?","Soccer, basketball, cricket, tennis, baseball."
"What is the FIFA World Cup?","The biggest international soccer tournament, held every four years."
"What are the rules of basketball?","Two teams of five players aim to score points by shooting a ball into the opponent's hoop."
"What are the top movies of all time?","'The Godfather,' 'Titanic,' 'Inception,' 'Avengers: Endgame.'"
"Who are the most famous musicians?","Michael Jackson, The Beatles, Beyoncé, Elvis Presley."
"How can I stay motivated?","Set clear goals, stay positive, and track progress."
"What are some good daily habits?","Exercise, reading, meditation, planning the day."
"How do I improve time management?","Prioritize tasks, use planners, and avoid procrastination."
"What is photosynthesis?","The process by which green plants convert sunlight into energy."
"What is Newton’s first law of motion?","An object in motion stays in motion unless acted upon by an external force."
"What is the Pythagorean theorem?","A mathematical principle stating a² + b² = c² for right-angled triangles."
"What is the human respiratory system?","The system responsible for breathing and gas exchange in the body."
"What is a black hole?","A region of space with gravitational pull so strong that nothing can escape it."
"Who was Albert Einstein?","A physicist known for developing the theory of relativity."
"What is the boiling point of water?","100°C or 212°F at sea level."
"How does an electric circuit work?","It allows electricity to flow through a connected path."
"What is a solar eclipse?","An event where the moon blocks the sun's light from reaching Earth."
"What is the function of the liver?","It detoxifies blood, produces bile, and stores energy."
"What is the smallest unit of life?","The cell."
"What are atoms made of?","Protons, neutrons, and electrons."
"What is the law of conservation of energy?","Energy cannot be created or destroyed, only transformed."
"What are the four main blood types?","A, B, AB, and O."
"What is the periodic table?","A table of chemical elements organized by atomic number."
"What is quantum mechanics?","A branch of physics that studies particles at the atomic level."
"What is the role of mitochondria?","They generate energy for the cell, known as the powerhouse of the cell."
"What is the speed of sound?","Approximately 343 meters per second in air."
"What is an ecosystem?","A community of living organisms interacting with their environment."
"What is genetics?","The study of heredity and variation in organisms."
"What is the tallest mountain in the world?","Mount Everest is the tallest mountain in the world."
"What is the largest ocean on Earth?","The Pacific Ocean is the largest ocean on Earth."
"What is the main ingredient in guacamole?","Avocado is the main ingredient in guacamole."
"What is the currency of Japan?","The currency of Japan is the yen."
"What is the primary language spoken in Brazil?","The primary language spoken in Brazil is Portuguese."
"What is the fastest land animal?","The cheetah is the fastest land animal."
"What is the smallest country in the world?","Vatican City is the smallest country in the world."
"What is the main function of the heart?","The main function of the heart is to pump blood throughout the body."
"What is the largest mammal in the world?","The blue whale is the largest mammal in the world."
"What is the primary function of the kidneys?","The primary function of the kidneys is to filter waste from the blood."
"What is the capital of Australia?","The capital of Australia is Canberra."
"What is the most spoken language in the world?","Mandarin Chinese is the most spoken language in the world."
"What is the primary purpose of photosynthesis?","The primary purpose of photosynthesis is to convert sunlight into energy for plants."
"What is the main component of the Earth's atmosphere?","Nitrogen is the main component of the Earth's atmosphere."
"What is the largest desert in the world?","The Antarctic Desert is the largest desert in the world."
"What is the boiling point of water at sea level?","The boiling point of water at sea level is 100°C or 212°F."
"What is the primary function of the lungs?","The primary function of the lungs is to facilitate gas exchange."
"What is the capital of Canada?","The capital of Canada is Ottawa."
"What is the most abundant gas in the Earth's atmosphere?","Nitrogen is the most abundant gas in the Earth's atmosphere."
"What is the primary purpose of the digestive system?","The primary purpose of the digestive system is to break down food and absorb nutrients."
"What is the largest organ in the human body?","The skin is the largest organ in the human body."
"What is the main ingredient in bread?","Flour is the main ingredient in bread."
"What is the capital of Italy?","The capital of Italy is Rome."
"What is the primary function of the brain?","The primary function of the brain is to process information and control bodily functions."
"What is the most widely practiced religion in the world?","Christianity is the most widely practiced religion in the world."
"What is the capital of Germany?","The capital of Germany is Berlin."
"What is the primary purpose of the skeletal system?","The primary purpose of the skeletal system is to provide structure and support to the body."
"What is the largest planet in our solar system?","Jupiter is the largest planet in our solar system."
"What is the capital of Spain?","The capital of Spain is Madrid."
"What is the primary function of the liver?","The primary function of the liver is to detoxify chemicals and metabolize drugs."
"What is the capital of Russia?","The capital of Russia is Moscow."
"What is the primary purpose of the immune system?","The primary purpose of the immune system is to defend the body against infections."
"What is the capital of China?","The capital of China is Beijing."
"What is the primary function of the pancreas?","The primary function of the pancreas is to produce insulin and digestive enzymes."
"What is the capital of India?","The capital of India is New Delhi."
"What is the primary purpose of the circulatory system?","The primary purpose of the circulatory system is to transport blood and nutrients throughout the body."
"What is the capital of Egypt?","The capital of Egypt is Cairo."
"What is the primary function of the nervous system?","The primary function of the nervous system is to transmit signals between different parts of the body."
"What is the capital of Mexico?","The capital of Mexico is Mexico City."
"What is the primary purpose of the reproductive system?","The primary purpose of the reproductive system is to produce offspring."
"What is the capital of France?","The capital of France is Paris."
"What is the primary function of the thyroid gland?","The primary function of the thyroid gland is to regulate metabolism."
"What is the capital of the United Kingdom?","The capital of the United Kingdom is London."
"What is the primary purpose of the muscular system?","The primary purpose of the muscular system is to facilitate movement."
"What is the capital of Brazil?","The capital of Brazil is Brasília."
"What is the primary function of the spleen?","The primary function of the spleen is to filter blood and support the immune system."
"What is the capital of Argentina?","The capital of Argentina is Buenos Aires."
"What is the primary purpose of the integumentary system?","The primary purpose of the integ umentary system is to protect the body from external damage and regulate temperature."
"What is the capital of South Africa?","The capital of South Africa is Pretoria (administrative), Bloemfontein (judicial), and Cape Town (legislative)."
"What is the primary function of the gallbladder?","The primary function of the gallbladder is to store and concentrate bile."
"What is the capital of Turkey?","The capital of Turkey is Ankara."
"What is the primary purpose of the endocrine system?","The primary purpose of the endocrine system is to regulate bodily functions through hormones."
"What is the capital of Thailand?","The capital of Thailand is Bangkok."
"What is the primary function of the small intestine?","The primary function of the small intestine is to absorb nutrients from food."
"What is the capital of Indonesia?","The capital of Indonesia is Jakarta."
"What is the primary purpose of the large intestine?","The primary purpose of the large intestine is to absorb water and electrolytes and form waste."
"What is the capital of Nigeria?","The capital of Nigeria is Abuja."
"What is the primary function of the adrenal glands?","The primary function of the adrenal glands is to produce hormones that help regulate metabolism, immune response, and stress."
"What is the capital of Vietnam?","The capital of Vietnam is Hanoi."
"What is the primary purpose of the urinary system?","The primary purpose of the urinary system is to remove waste and excess fluids from the body."
"What is the capital of Saudi Arabia?","The capital of Saudi Arabia is Riyadh."
"What is the primary function of the skin?","The primary function of the skin is to act as a barrier and protect the body from external harm."
"What is the capital of Sweden?","The capital of Sweden is Stockholm."
"What is the primary purpose of the lymphatic system?","The primary purpose of the lymphatic system is to help defend the body against infections and maintain fluid balance."
"What is the capital of Norway?","The capital of Norway is Oslo."
"What is the primary function of the esophagus?","The primary function of the esophagus is to transport food from the mouth to the stomach."
"What is the capital of Finland?","The capital of Finland is Helsinki."
"What is the primary purpose of the respiratory system?","The primary purpose of the respiratory system is to facilitate breathing and gas exchange."
"What is the capital of Denmark?","The capital of Denmark is Copenhagen."
"What is the primary function of the stomach?","The primary function of the stomach is to break down food using acids and enzymes."
"What is the capital of Greece?","The capital of Greece is Athens."
"What is the primary purpose of the reproductive system in males?","The primary purpose of the reproductive system in males is to produce sperm and hormones."
"What is the capital of Portugal?","The capital of Portugal is Lisbon."
"What is the primary purpose of the reproductive system in females?","The primary purpose of the reproductive system in females is to produce eggs and support fetal development."
"What is the capital of Hungary?","The capital of Hungary is Budapest."
"What is the primary function of the cerebellum?","The primary function of the cerebellum is to coordinate voluntary movements and maintain balance."
"What is the capital of Czech Republic?","The capital of Czech Republic is Prague."
"What is the primary purpose of the occipital lobe?","The primary purpose of the occipital lobe is to process visual information."
"What is the capital of Romania?","The capital of Romania is Bucharest."
"What is the primary function of the temporal lobe?","The primary function of the temporal lobe is to process auditory information and is involved in memory."
"What is the capital of Bulgaria?","The capital of Bulgaria is Sofia."
"What is the primary purpose of the frontal lobe?","The primary purpose of the frontal lobe is to control reasoning, planning, and problem-solving."
"What is the capital of Slovakia?","The capital of Slovakia is Bratislava."
"What is the primary function of the parietal lobe?","The primary function of the parietal lobe is to process sensory information and spatial awareness."
"What is the capital of Serbia?","The capital of Serbia is Belgrade."
"What is the primary purpose of the corpus callosum?","The primary purpose of the corpus callosum is to connect the left and right hemispheres of the brain."
"What is the capital of Croatia?","The capital of Croatia is Zagreb."
"What is the primary function of the hypothalamus?","The primary function of the hypothalamus is to regulate body temperature, hunger, and thirst."
"What is the capital of Slovenia?","The capital of Slovenia is Ljubljana."
"What is the primary purpose of the thalamus?","The primary purpose of the thalamus is to relay sensory information to the appropriate areas of the brain."
"What is the capital of Malta?","The capital of Malta is Valletta."
"What is the primary function of the amygdala?","The primary function of the amygdala is to